url,titulo,desconto,precoOriginal,precoAVista,precoAPrazo,descricao,images,atributos
www.netshoes.com.br/tenis-mizuno-wave-titan-2-2FU-6367-006,Tênis Mizuno Wave Titan 2 - Preto,31,349.99,227.99,239.99,"*Possui forma pequena, para um melhor ajuste nos pés, recomendamos a compra de um tamanho maior do que o seu usual.* Aposte no conforto e qualidade do novo Tênis de Corrida Masculino da Mizuno para te acompanhar nos seus treinos diários. Com design moderno, o running indicado para caminhadas e corridas leves possui cabedal fabricado com material macio e respirável que garante mais frescor durante o uso. O calcanhar é acolchoado e oferece suporte aos pés enquanto o cadarço garante ajuste eficaz. A entressola em EVA conta com tecnologia que proporciona alto nível de maciez entre uma passada e outra; e o solado de borracha proporciona aderência e tração por onde você passar. Indicado para corredores de pisada neutra, o Tênis Masculino Mizuno acompanha os corredores mais ambiciosos na busca pelo melhor pace. Aproveite!","[""https://static.netshoes.com.br/produtos/tenis-mizuno-wave-titan-2/06/2FU-6367-006/2FU-6367-006_zoom1.jpg?ts=1657368380&"",""https://static.netshoes.com.br/produtos/tenis-mizuno-wave-titan-2/06/2FU-6367-006/2FU-6367-006_zoom2.jpg?ts=1657368380&"",""https://static.netshoes.com.br/produtos/tenis-mizuno-wave-titan-2/06/2FU-6367-006/2FU-6367-006_zoom3.jpg?ts=1657368380&"",""https://static.netshoes.com.br/produtos/tenis-mizuno-wave-titan-2/06/2FU-6367-006/2FU-6367-006_zoom4.jpg?ts=1657368380&"",""https://static.netshoes.com.br/produtos/tenis-mizuno-wave-titan-2/06/2FU-6367-006/2FU-6367-006_zoom5.jpg?ts=1657368380&""]","{""Nome"":""Tênis Mizuno Wave Titan 2"",""Gênero"":""Unissex"",""Indicado para"":""Dia a Dia"",""Material"":""Têxtil e Sintético"",""Categoria"":""Caminhada"",""Composição"":""Cabedal: Têxtil com tiras sintéticas, calcanhar acolchoado e fecho em cadarço; Entressola: EVA; Solado: Borracha"",""Tecnologia"":""Wave"",""Pisada"":""Neutra"",""Definição da Tecnologia"":""Tecnologia que garante 100% da performance do sistema, proporcionando maior absorção de impacto, máximo amortecimento e estabilidade"",""Importante"":""Possui forma pequena, para um melhor ajuste nos pés, recomendamos a compra de um tamanho maior do que o seu usual."",""Garantia do Fabricante"":""Contra defeito de fabricação"",""Origem"":""Nacional"",""Marca"":""Mizuno""}"
www.netshoes.com.br/tenis-masculino-esporte-cadarco-academia-corrida-dia-a-dia-N0B-0002-006,Tênis Masculino Esporte Cadarço Academia Corrida Dia a Dia - Preto,50,159.9,79.9,79.9,"O Tênis da Sport Titaniium é confeccionado em têxtil macio e com solado micro expandido. É perfeito para quem procura estilo e conforto. Oferecendo leveza e versatilidade para o seu dia a dia. Ideal para quem tem a pisada neutra, o tênis da a segurança que precisa para praticar esportes e também para usar onde quiser. Disponível em várias cores esse modelo combina com muitos looks!. ESPECIFICAÇÕES TÉCNICAS. Material: Têxtil. Solado: Micro expandido. Fechamento: Cadarço. Garantia do Fabricante: Contra defeitos de fabricação.","[""https://static.netshoes.com.br/produtos/tenis-masculino-esporte-cadarco-academia-corrida-dia-a-dia/06/N0B-0002-006/N0B-0002-006_zoom1.jpg?ts=1675325590&"",""https://static.netshoes.com.br/produtos/tenis-masculino-esporte-cadarco-academia-corrida-dia-a-dia/06/N0B-0002-006/N0B-0002-006_zoom2.jpg?ts=1675325590&"",""https://static.netshoes.com.br/produtos/tenis-masculino-esporte-cadarco-academia-corrida-dia-a-dia/06/N0B-0002-006/N0B-0002-006_zoom3.jpg?ts=1675325590&"",""https://static.netshoes.com.br/produtos/tenis-masculino-esporte-cadarco-academia-corrida-dia-a-dia/06/N0B-0002-006/N0B-0002-006_zoom4.jpg?ts=1675325590&""]","{""Nome"":""Tênis Masculino Esporte Cadarço Academia Corrida Dia a Dia"",""Gênero"":""Masculino"",""Indicado para"":""Dia a Dia"",""Material"":""Nylon"",""Benefícios"":""Flexibilidade"",""Categoria"":""Caminhada"",""Pisada"":""Neutra"",""Garantia do Fabricante"":""Contra defeitos de fabricação"",""Marca"":""Sport Titaniium""}"
www.netshoes.com.br/tenis-adidas-breaknet-feminino-NQQ-4379-028,Tênis Adidas Breaknet Feminino - Branco+Preto,23,299.99,218.49,229.99,"*Possui forma pequena, para um melhor ajuste nos pés, recomendamos a compra de um tamanho maior do que o seu usual.* Com modelo clássico, o Tênis Adidas Feminino Breaknet traz as listras icônicas da marca apenas nas laterais, com opções de cores lisas e também animal print. É confeccionado com material resistente e firme, perfuro para respirabilidade, forro acolchoado e solado resistente ao desgaste. Indicado para pessoas com pé fino, por conta da forma pequena. Conte com a Adidas para complementar o seu look urbano em grande estilo!","[""https://static.netshoes.com.br/produtos/tenis-adidas-breaknet-feminino/28/NQQ-4379-028/NQQ-4379-028_zoom1.jpg?ts=1682692270&"",""https://static.netshoes.com.br/produtos/tenis-adidas-breaknet-feminino/28/NQQ-4379-028/NQQ-4379-028_zoom2.jpg?ts=1682692270&"",""https://static.netshoes.com.br/produtos/tenis-adidas-breaknet-feminino/28/NQQ-4379-028/NQQ-4379-028_zoom3.jpg?ts=1682692270&"",""https://static.netshoes.com.br/produtos/tenis-adidas-breaknet-feminino/28/NQQ-4379-028/NQQ-4379-028_zoom4.jpg?ts=1682692270&"",""https://static.netshoes.com.br/produtos/tenis-adidas-breaknet-feminino/28/NQQ-4379-028/NQQ-4379-028_zoom5.jpg?ts=1682692270&"",""https://static.netshoes.com.br/produtos/tenis-adidas-breaknet-feminino/28/NQQ-4379-028/NQQ-4379-028_zoom6.jpg?ts=1682692270&""]","{""Nome"":""Tênis Adidas Breaknet Feminino"",""Gênero"":""Feminino"",""Departamento BS"":""Esporte"",""Indicado para"":""Dia a Dia"",""Estilo da Peça"":""Com logo"",""Material"":""Sintético"",""Material Interno"":""Têxtil"",""Altura do Cano"":""Cano Baixo"",""Fechamento"":""Cadarço"",""Solado"":""Borracha"",""Importante"":""Possui forma pequena, para um melhor ajuste nos pés, recomendamos a compra de um tamanho maior do que o seu usual."",""Composição"":""Cabedal: Couro sintético, forro acolchoado e fechamento em cadarço. Solado: Borracha."",""Peso do Produto"":""310 g (O peso do produto varia de acordo com a númeração)"",""Garantia do Fabricante"":""Contra defeito de fabricação"",""Origem"":""Estrangeira - Adquirida no mercado interno"",""Marca"":""Adidas""}"
www.netshoes.com.br/tenis-mizuno-cometa-2FU-5849-026,Tênis Mizuno Cometa - Preto+Branco,39,329.99,199.99,199.99,"Com design versátil para o treino e dia a dia, o Tênis Mizuno Cometa é a escolha para te acompanhar no sportwear com estilo e conforto. É confeccionado em material macio e respirável com forro colchoado. Traz com entressola macia em espuma para amortecimento suave e solado em borracha para durabilidade e resistência. Peça já seu tênis de corrida Mizuno!  *Esse tênis possui uma forma menor do que o padrão, avalie escolher um tamanho maior do que de costume*","[""https://static.netshoes.com.br/produtos/tenis-mizuno-cometa/26/2FU-5849-026/2FU-5849-026_zoom1.jpg?ts=1643916928&"",""https://static.netshoes.com.br/produtos/tenis-mizuno-cometa/26/2FU-5849-026/2FU-5849-026_zoom2.jpg?ts=1643916928&"",""https://static.netshoes.com.br/produtos/tenis-mizuno-cometa/26/2FU-5849-026/2FU-5849-026_zoom3.jpg?ts=1643916928&"",""https://static.netshoes.com.br/produtos/tenis-mizuno-cometa/26/2FU-5849-026/2FU-5849-026_zoom4.jpg?ts=1643916928&"",""https://static.netshoes.com.br/produtos/tenis-mizuno-cometa/26/2FU-5849-026/2FU-5849-026_zoom5.jpg?ts=1643916928&""]","{""Nome"":""Tênis Mizuno Cometa"",""Gênero"":""Unissex"",""Indicado para"":""Dia a Dia"",""Material"":""Têxtil"",""Pisada"":""Neutra"",""Importante"":""Para um melhor ajuste nos pés, recomendamos a compra de um tamanho maior do que o seu usual. Forma Pequena."",""Garantia do Fabricante"":""Contra Defeito de Fabricação"",""Origem"":""Nacional"",""Marca"":""Mizuno""}"
www.netshoes.com.br/creatine-turbo-300g-black-skull-G54-4177-001,Creatine Turbo 300g Black Skull,33,99.9,66.9,66.9,"A Creatine Turbo® da linha Caveira Preta Series® da Black Skull USA™ é um suplemento a base de Creatina Monohidratada e Maltodextrina. Onde é comprovado que, a utilização de carboidratos em conjunto com a creatina, promove maior eficácia no efeito da creatina, além do carboidrato agir no aumento de energia, visando apoiar seus resultados nas atividades físicas, oferecendo maior energia e consecutivamente, melhor desempenho. Com seus benefícios, apoia também o ganho de massa e a conclusão dos treinos mantendo a qualidade de suas repetições.  Sendo recomendado o consumo de 6g  ao dia. INGREDIENTES: Creatina Monohidratada e maltodextrina. NÃO CONTEM GLÚTEN.  COMO CONSUMIR? Adicionar 1 ¼ (6g) do Creatine Turbo® em 150ml de água e consumir uma vez ao dia ou conforme recomendação do fabricante. Importante que seu consumo esteja associado a uma alimentação equilibarada.  SAIBA MAIS: CREATINA A creatina é um composto de aminoácido criado pelos rins, fígado e pâncreas, por meio dos aminoácidos arginina e glicina, presentes nos alimentos com carnes e peixes, sendo que a cada 1kg de carne vermelha, encontra-se 5g de creatina. O uso desse suplemento sempre esteve em alta no mercado devido sua função de fortalecimento de energia temporária, aumento de força e promove a hipertrofia devido ao aumento de força e volume de treinamento.","[""https://static.netshoes.com.br/produtos/creatine-turbo-300g-black-skull/01/G54-4177-001/G54-4177-001_zoom1.jpg?ts=1650625727&"",""https://static.netshoes.com.br/produtos/creatine-turbo-300g-black-skull/01/G54-4177-001/G54-4177-001_zoom2.jpg?ts=1650625727&""]","{""Nome"":""Creatine Turbo 300g Black Skull"",""Gênero"":""Unissex"",""Indicado para"":""Auxilia Ganho de Energia"",""Glúten"":""Não Contém"",""Marca"":""Black Skull""}"
www.netshoes.com.br/tenis-nike-downshifter-12-masculino-2IC-7643-304,Tênis Nike Downshifter 12 Masculino - Preto+Grafite,37,399.99,237.49,249.99,"Para garantir conforto e qualidade nas suas corridas diárias, aposte no Tênis Running Nike Downshifter 12! Indicado para quem está iniciando os treinos de running, caminhada e crossfit, o calçado desenvolvido em material leve e resistente, possui cabedal têxtil respirável, e bico mais fino, por isso compre um número acima do que costuma usar. O tênis Nike conta com faixa de ajuste no mediopé que, se usada em conjunto com sua amarração em cadarço, proporciona mais firmeza e suporte aos pés. Entressola em espuma macia e elevada, conferindo amortecimento e uma sensação suave em cada passada. Solado emborrachado para criar tração e dar aderência a calçadas, ruas e esteiras. O tênis masculino da Nike possui ainda logo Downshifter 12 na lingueta e o icônico Swoosh na lateral. Esse tênis de corrida dá continuidade à jornada da Nike pela sustentabilidade, em um design feito com pelo menos 20% de conteúdo reciclado por peso. Invista e torne seus treinos ainda melhores!","[""https://static.netshoes.com.br/produtos/tenis-nike-downshifter-12-masculino/04/2IC-7643-304/2IC-7643-304_zoom1.jpg?ts=1656437548&"",""https://static.netshoes.com.br/produtos/tenis-nike-downshifter-12-masculino/04/2IC-7643-304/2IC-7643-304_zoom2.jpg?ts=1656437548&"",""https://static.netshoes.com.br/produtos/tenis-nike-downshifter-12-masculino/04/2IC-7643-304/2IC-7643-304_zoom3.jpg?ts=1656437548&"",""https://static.netshoes.com.br/produtos/tenis-nike-downshifter-12-masculino/04/2IC-7643-304/2IC-7643-304_zoom4.jpg?ts=1656437548&"",""https://static.netshoes.com.br/produtos/tenis-nike-downshifter-12-masculino/04/2IC-7643-304/2IC-7643-304_zoom5.jpg?ts=1656437548&"",""https://static.netshoes.com.br/produtos/tenis-nike-downshifter-12-masculino/04/2IC-7643-304/2IC-7643-304_zoom6.jpg?ts=1656437548&"",""https://static.netshoes.com.br/produtos/tenis-nike-downshifter-12-masculino/04/2IC-7643-304/2IC-7643-304_zoom7.jpg?ts=1656437548&""]","{""Nome"":""Tênis Nike Downshifter 12 Masculino"",""Gênero"":""Masculino"",""Indicado para"":""Corrida"",""Material"":""Têxtil"",""Categoria"":""Treino"",""Pisada"":""Neutra"",""Importante"":""Possui Forma pequena, para um melhor ajuste nos pés, recomendamos a compra de um tamanho maior do que o seu usual."",""Garantia do Fabricante"":""Contra defeito de fabricação"",""Origem"":""Nacional"",""Marca"":""Nike""}"
www.netshoes.com.br/chinelo-nuvem-slide-leve-confortavel-moderno-MEE-0115-006,Chinelo Nuvem Slide Leve Confortável Moderno - Preto,60,99.9,39.9,39.9,"Descontraído e moderno, o Chinelo Nuvem possui design despojado e versatilidade para combinar em diversas ocasiões. O modelo é confeccionado em pvc expandido, gerando maior conforto durante o calçar. Confortável e prático possui cores maravilhosas e modernas para você usar em qualquer look. Do preto básico às cores da moda! Escolha já sua cor favorita e arrase por onde passar!. ESPECIFICAÇÕES TÉCNICAS. Material: PVC. Solado: PVC Expandido. Indicado para: Dia a Dia. Estilo da Peça: Lisa. Ocasião: Conforto. Temporada de lançamento: Primavera-verão. Ano de lançamento: 2021. Garantia do Fabricante: Contra defeitos de fabricação.","[""https://static.netshoes.com.br/produtos/chinelo-nuvem-slide-leve-confortavel-moderno/06/MEE-0115-006/MEE-0115-006_zoom1.jpg?ts=1667214670&"",""https://static.netshoes.com.br/produtos/chinelo-nuvem-slide-leve-confortavel-moderno/06/MEE-0115-006/MEE-0115-006_zoom2.jpg?ts=1667214670&"",""https://static.netshoes.com.br/produtos/chinelo-nuvem-slide-leve-confortavel-moderno/06/MEE-0115-006/MEE-0115-006_zoom3.jpg?ts=1667214670&"",""https://static.netshoes.com.br/produtos/chinelo-nuvem-slide-leve-confortavel-moderno/06/MEE-0115-006/MEE-0115-006_zoom4.jpg?ts=1667214670&""]","{""Nome"":""Chinelo Nuvem Slide Leve Confortável Moderno"",""Gênero"":""Feminino"",""Departamento BS"":""Calçados"",""Indicado para"":""Dia a Dia"",""Ocasião"":""Conforto"",""Material"":""PVC"",""Garantia do Fabricante"":""Contra defeitos de fabricação"",""Origem"":""Nacional"",""Marca"":""Valentina K""}"
www.netshoes.com.br/tenis-nike-revolution-6-next-nature-masculino-2IC-5000-006,Tênis Nike Revolution 6 Next Nature Masculino - Preto,30,399.99,279.99,279.99,"CONFORTO VERSÁTIL COM AMORTECIMENTO FLEXÍVEL.Defina o ritmo no início da sua corrida com a sensação de maciez do Nike Revolution 6 Next Nature. Sabemos que o conforto é a chave para uma corrida bem-sucedida, então adicionamos amortecimento e flexibilidade para uma passada mais macia. É a evolução de um favorito com design ventilado, feito com pelo menos 20% de conteúdo reciclado por peso.Design simplesA tela macia é colocada no antepé e ao longo da boca para uma sensação de conforto. Os revestimenos adicionais acrescentam durabilidade.Mais flexibilidadeUma entressola de espuma oferece uma passada mais suave que a do Revolution 5. A sola tem um design computadorizado que cria um efeito natural de pistão enquanto você corre, proporcionando mais amortecimento e flexibilidade. Elas se combinam para uma tração durável.Toque intuitivoOs pontos de toque no calcanhar e na língua criam uma sensação natural ao calçar e remover o tênis.","[""https://static.netshoes.com.br/produtos/tenis-nike-revolution-6-next-nature-masculino/06/2IC-5000-006/2IC-5000-006_zoom1.jpg?ts=1681309369&"",""https://static.netshoes.com.br/produtos/tenis-nike-revolution-6-next-nature-masculino/06/2IC-5000-006/2IC-5000-006_zoom2.jpg?ts=1681309369&"",""https://static.netshoes.com.br/produtos/tenis-nike-revolution-6-next-nature-masculino/06/2IC-5000-006/2IC-5000-006_zoom3.jpg?ts=1681309369&"",""https://static.netshoes.com.br/produtos/tenis-nike-revolution-6-next-nature-masculino/06/2IC-5000-006/2IC-5000-006_zoom4.jpg?ts=1681309369&"",""https://static.netshoes.com.br/produtos/tenis-nike-revolution-6-next-nature-masculino/06/2IC-5000-006/2IC-5000-006_zoom5.jpg?ts=1681309369&"",""https://static.netshoes.com.br/produtos/tenis-nike-revolution-6-next-nature-masculino/06/2IC-5000-006/2IC-5000-006_zoom6.jpg?ts=1681309369&""]","{""Nome"":""Tênis Nike Revolution 6 Next Nature Masculino"",""Gênero"":""Masculino"",""Indicado para"":""Dia a Dia"",""Modelo"":""revolution"",""Terreno"":""Rua ou Esteira"",""Marca"":""Nike""}"
www.netshoes.com.br/tenis-nike-downshifter-12-feminino-2IC-7627-306,Tênis Nike Downshifter 12 Feminino - Rosa+Branco,40,399.99,227.99,239.99,"Para garantir conforto e qualidade nas suas corridas diárias, aposte no Tênis Running Nike Downshifter 12! Indicado para quem está iniciando os treinos de running, caminhada e crossfit, o calçado desenvolvido em material leve e resistente, possui cabedal têxtil respirável, e bico mais fino, por isso compre um número acima do que costuma usar. O tênis Nike conta com faixa de ajuste no mediopé que, se usada em conjunto com sua amarração em cadarço, proporciona mais firmeza e suporte aos pés. Entressola em espuma macia e elevada, conferindo amortecimento e uma sensação suave em cada passada. Solado emborrachado para criar tração e dar aderência a calçadas, ruas e esteiras. O tênis feminino da Nike possui ainda logo Downshifter 12 na lingueta e o icônico Swoosh na lateral. Esse tênis de corrida dá continuidade à jornada da Nike pela sustentabilidade, em um design feito com pelo menos 20% de conteúdo reciclado por peso. Invista e torne seus treinos ainda melhores!","[""https://static.netshoes.com.br/produtos/tenis-nike-downshifter-12-feminino/06/2IC-7627-306/2IC-7627-306_zoom1.jpg?ts=1656437527&"",""https://static.netshoes.com.br/produtos/tenis-nike-downshifter-12-feminino/06/2IC-7627-306/2IC-7627-306_zoom2.jpg?ts=1656437527&"",""https://static.netshoes.com.br/produtos/tenis-nike-downshifter-12-feminino/06/2IC-7627-306/2IC-7627-306_zoom3.jpg?ts=1656437527&"",""https://static.netshoes.com.br/produtos/tenis-nike-downshifter-12-feminino/06/2IC-7627-306/2IC-7627-306_zoom4.jpg?ts=1656437527&"",""https://static.netshoes.com.br/produtos/tenis-nike-downshifter-12-feminino/06/2IC-7627-306/2IC-7627-306_zoom5.jpg?ts=1656437527&"",""https://static.netshoes.com.br/produtos/tenis-nike-downshifter-12-feminino/06/2IC-7627-306/2IC-7627-306_zoom6.jpg?ts=1656437527&"",""https://static.netshoes.com.br/produtos/tenis-nike-downshifter-12-feminino/06/2IC-7627-306/2IC-7627-306_zoom7.jpg?ts=1656437527&""]","{""Nome"":""Tênis Nike Downshifter 12 Feminino"",""Gênero"":""Feminino"",""Indicado para"":""Corrida"",""Material"":""Têxtil"",""Categoria"":""Treino"",""Pisada"":""Neutra"",""Importante"":""Para um melhor ajuste nos pés, recomendamos a compra de um tamanho maior do que o seu usual. Forma Pequena."",""Garantia do Fabricante"":""Contra defeito de fabricação"",""Origem"":""Nacional"",""Marca"":""Nike""}"
www.netshoes.com.br/creatina-monohidratada-250g-100-pura-importada-soldiers-nutrition-I0Y-0014-289,Creatina Monohidratada 250g - 100% Pura Importada - Soldiers Nutrition,NaN,54.9,54.9,54.9,"Creatina Monohidratada 250g - 100% Pura Importada - Soldiers NutritionAcompanha Dosadora 3gSOMOS FABRICANTES, PRODUTO DIRETO DA FÁBRICA PARA VOCÊ COM TOTAL GARANTIA DE QUALIDADEANVISA:Registro ISENTO conforme resolução RDC 27 de 06 de agosto de 2010 anexo I.Registro ISENTO conforme resolução RDC 240/2018.O QUE É?Acreatinaé um derivado de aminoácidos obtida através da dieta de síntese por nosso próprio organismo. Ela está presente essencialmente no músculo e auxilia na manutenção dos níveis de energia durante períodos breves de exercício intenso. Ou seja, sua função é crucial nos treinos com muito peso na busca pelo ganho de massa.Beneficios:•Aumenta a capacidade domúsculo de gerar força•Aumento de massa magra•Aumento da capacidade de treinamento•Previne o catabolismo muscularQUANTO TOMAR/MELHOR HORÁRIO PARA CONSUMOO suplemento decreatinaapresenta seus benefícios através de uso crônico, após iniciado o consumo ela deve ser ingerida todos os dias, levarão alguns dias até que os benefícios possam ser observados na sua totalidade.creatinaé insulinodependente, isso significa que é preciso consumi-la junto com /suplementos que influenciem a produção de insulina. A lista de itens que possui este efeito envolve carboidratos de alto índice glicêmico como dextrose, maltodextrina, pão e proteínas de alto índice insulinêmico como leite e whey protein.A sugestão de consumo determinada pela ANVISA é de 3gr ao dia.Não existe consenso entre pesquisadores sobre o melhor horário para consumo, existem evidencias que apontam para maiores benefícios quando consumida na refeição pré-treino, assim como também existem evidencias para melhores benefícios quando consumida junto com a refeição pós-treino.Modo de Preparo: Diluir 3g (1 dosadora) dacreatinaem 200ml de água ou bebida de sua preferência.Consumir uma porção ao dia ou conforme recomendação do nutricionista ou médico.","[""https://static.netshoes.com.br/produtos/creatina-monohidratada-250g-100-pura-importada-soldiers-nutrition/89/I0Y-0014-289/I0Y-0014-289_zoom1.jpg?ts=1666804163&"",""https://static.netshoes.com.br/produtos/creatina-monohidratada-250g-100-pura-importada-soldiers-nutrition/89/I0Y-0014-289/I0Y-0014-289_zoom2.jpg?ts=1666804163&"",""https://static.netshoes.com.br/produtos/creatina-monohidratada-250g-100-pura-importada-soldiers-nutrition/89/I0Y-0014-289/I0Y-0014-289_zoom3.jpg?ts=1666804163&""]","{""Nome"":""Creatina Monohidratada 250g - 100% Pura Importada - Soldiers Nutrition"",""Gênero"":""Unissex"",""Indicado para"":""Auxilia Ganho de Energia"",""Glúten"":""Não Contém"",""Marca"":""Soldiers Nutrition""}"
